0;24
1;41
2;82
3;123
4;155
5;187
6;237
7;269
8;292
9;342
10;365
11;406
12;438
13;515
14;511
15;534
16;566
17;607
18;657
19;680
20;730
21;744
22;776
23;844
24;849
25;881
26;895
27;936
28;986
29;1036
30;1086
31;1073
32;1132
33;1128
34;1214
35;1192
36;1233
37;1274
38;1315
39;1320
40;1352
41;1393
42;1443
43;1466
44;1516
45;1539
46;1562
47;1594
48;1617
49;1676
50;1699
51;1713
52;1772
53;1813
54;1818
55;1850
56;1900
57;1914
58;1928
59;1996
60;2028
61;2033
62;2083
63;2124
64;2156
65;2179
66;2220
67;2243
68;2284
69;2343
70;2366
71;2380
72;2421
73;2444
74;2494
75;2517
76;2540
77;2590
78;2613
79;2627
80;2677
81;2691
82;2714
83;2773
84;2796
85;2873
86;2851
87;2910
88;2942
89;2956
90;2979
91;3011
92;3061
93;3084
94;3134
95;3184
96;3189
97;3203
98;3253
99;3303
100;3344
101;3340
102;3390
103;3404
104;3436
105;3468
106;3527
107;3523
108;3564
109;3605
110;3664
111;3678
112;3719
113;3733
114;3792
115;3797
116;3820
117;3906
118;3911
119;3934
120;3975
121;4007
122;4021
123;4071
124;4085
125;4108
126;4131
127;4172
128;4231
129;4245
130;4295
131;4309
132;4359
133;4400
134;4414
135;4428
136;4496
137;4510
138;4524
139;4574
140;4606
141;4629
142;4679
143;4711
144;4725
145;4775
146;4816
147;4839
148;4889
149;4921
150;4926
151;4958
152;5017
153;5013
154;5054
155;5113
156;5118
157;5141
158;5218
159;5205
160;5246
161;5269
162;5337
163;5342
164;5410
165;5433
166;5465
167;5479
168;5520
169;5543
170;5548
171;5643
172;5648
173;5662
174;5739
175;5762
176;5767
177;5808
178;5849
179;5863
180;5895
181;5909
182;5959
183;5982
184;6032
185;6055
186;6105
187;6128
188;6160
189;6183
190;6224
191;6265
192;6288
193;6302
194;6370
195;6393
196;6407
197;6430
198;6507
199;6485
200;6535
201;6576
202;6608
203;6622
204;6690
205;6686
206;6754
207;6786
208;6809
209;6814
210;6900
211;6896
212;6919
213;6942
214;7010
215;7024
216;7056
217;7079
218;7138
219;7125
220;7193
221;7207
222;7239
223;7289
224;7303
225;7353
226;7385
227;7408
228;7458
229;7454
230;7513
231;7536
232;7550
233;7591
234;7623
235;7655
236;7714
237;7719
238;7760
239;7783
240;7851
241;7883
242;7906
243;7911
244;7943
245;7975
246;7998
247;8057
248;8098
249;8130
250;8162
251;8176
252;8181
253;8240
254;8344
255;8304
256;8345
257;8377
258;8391
259;8423
260;8473
261;8523
262;8537
263;8551
264;8583
265;8651
266;8647
267;8715
268;8729
269;8743
270;8793
271;8816
272;8875
273;8916
274;8930
275;8971
276;8985
277;9008
278;9040
279;9072
280;9104
281;9136
282;9168
283;9200
284;9232
285;9264
286;9305
287;9310
288;9405
289;9410
290;9442
291;9492
292;9506
293;9520
294;9552
295;9593
296;9625
297;9648
298;9680
299;9739
300;9753
301;9803
302;9817
303;9831
304;9872
305;9913
306;9954
307;9995
308;10027
309;10059
310;10082
311;10114
312;10119
313;10169
314;10201
315;10233
316;10265
317;10297
318;10329
319;10379
320;10402
321;10416
322;10457
323;10489
324;10512
325;10544
326;10630
327;10590
328;10640
329;10672
330;10695
331;10772
332;10777
333;10791
334;10877
335;10873
336;10950
337;10946
338;10960
339;11019
340;11042
341;11074
342;11079
343;11120
344;11152
345;11193
346;11243
347;11248
348;11334
349;11321
350;11353
351;11421
352;11417
353;11449
354;11526
355;11531
356;11527
357;11577
358;11627
359;11641
360;11682
361;11705
362;11737
363;11778
364;11819
365;11833
366;11874
367;11897
368;11938
369;11961
370;11984
371;12025
372;12084
373;12098
374;12148
375;12171
376;12185
377;12226
378;12258
379;12290
380;12304
381;12363
382;12359
383;12418
384;12432
385;12473
386;12523
387;12537
388;12578
389;12619
390;12624
391;12665
392;12706
393;12765
394;12779
395;12820
396;12852
397;12893
398;12889
399;12975
400;12980
401;12976
402;13017
403;13058
404;13072
405;13113
406;13163
407;13168
408;13227
409;13250
410;13291
411;13323
412;13346
413;13396
414;13428
415;13424
416;13465
417;13524
418;13538
419;13561
420;13638
421;13661
422;13684
423;13689
424;13721
425;13771
426;13821
427;13844
428;13849
429;13908
430;13913
431;13945
432;13977
433;14036
434;14059
435;14118
436;14114
437;14137
438;14178
439;14192
440;14251
441;14265
442;14279
443;14365
444;14379
445;14393
446;14434
447;14493
448;14498
449;14530
450;14553
451;14585
452;14608
453;14658
454;14690
455;14758
456;14772
457;14777
458;14818
459;14841
460;14873
461;14923
462;14946
463;14987
464;15010
465;15024
466;15083
467;15088
468;15156
469;15179
470;15211
471;15225
472;15266
473;15316
474;15303
475;15362
476;15412
477;15444
478;15512
479;15508
480;15531
481;15590
482;15586
483;15627
484;15659
485;15709
486;15750
487;15764
488;15787
489;15810
490;15842
491;15865
492;15915
493;15956
494;15988
495;15993
496;16034
497;16066
498;16116
499;16139
500;16189
501;16167
502;16262
503;16285
504;16308
505;16376
506;16363
507;16404
508;16436
509;16459
510;16491
511;16532
512;16573
513;16578
514;16619
515;16633
516;16674
517;16706
518;16747
519;16761
520;16811
521;16834
522;16893
523;16925
524;16921
525;16980
526;17012
527;17053
528;17085
529;17135
530;17122
531;17163
532;17204
533;17227
534;17259
535;17300
536;17305
537;17373
538;17387
539;17437
540;17469
541;17510
542;17524
543;17565
544;17570
545;17611
546;17679
547;17657
548;17716
549;17748
550;17771
551;17803
552;17862
553;17885
554;17908
555;17931
556;17981
557;18004
558;18027
559;18050
560;18136
561;18114
562;18191
563;18214
564;18228
